buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
BALESTIER POINT,"279 BALESTIER ROAD, SINGAPORE 329727",Commercial Building,Retail,Small,1988,N/A,N/A,N/A,"6,154",70%,88%,N/A,Air Cooled Chilled Water Plant,3,N/A,N/A,5%,N,327.11,320.76,338.89,303.60
OCEAN FINANCIAL CENTRE,"10 COLLYER QUAY, SINGAPORE 049315",Commercial Building,Office,Large,2011,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"95,992",89%,97%,N/A,District Cooling Plant,8.75,0.59,2019,0%,Y,208.02,201.41,210.36,184.60
STATE COURTS,"1 HAVELOCK SQUARE, SINGAPORE 059724",Commercial Building,Office,Large,2019,Platinum,2018,New Building for Non-Residential buildings (version 4.1),"103,444",70%,100%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,100%,Y,N/A,N/A,292.99,114.19
MARINA SQUARE,"6 RAFFLES BOULEVARD, SINGAPORE 039594",Commercial Building,Retail,Omit,1986,Certified,2019,Existing Building for Non-Residential buildings (version 2.1),"452,045",45%,86%,1317,Water Cooled Chilled Water Plant,16,0.68,2019,30%,N,205.51,200.26,198.81,147.53
HOTEL G SINGAPORE,"200 MIDDLE ROAD, SINGAPORE 188980",Commercial Building,Hotel,Small,2013,Legislated,2013,N/A,"8,784",59%,85%,308,Others,7,N/A,N/A,100%,N,421.68,433.66,408.30,327.08
HILTON GARDEN INN SINGAPORE SERANGOON,"3 BELILIOS ROAD, SINGAPORE 219924",Commercial Building,Hotel,Small,2015,N/A,N/A,N/A,"10,803",83%,35%,328,Others,10,N/A,N/A,90%,N,290.12,383.30,400.58,323.82
SLF BUILDING,"510 THOMSON ROAD, SINGAPORE 298135",Commercial Building,Mixed Development,Omit,1986,N/A,N/A,N/A,"44,615",71%,90%,N/A,Water Cooled Chilled Water Plant,10,0.88,2010,0%,N,206.68,190.97,197.13,193.93
TECHSQ,"722 UPPER CHANGI ROAD EAST, SINGAPORE 486854",Commercial Building,Office,Small,1983,N/A,N/A,N/A,"12,135",72%,100%,N/A,Water Cooled Chilled Water Plant,17,N/A,N/A,0%,Y,1014.74,1027.45,942.12,800.18
HAVELOCK2,"2 HAVELOCK ROAD, SINGAPORE 059763",Commercial Building,Retail,Large,2016,N/A,N/A,N/A,"19,970",83%,60%,N/A,Others,2,N/A,N/A,55%,N,188.67,239.30,218.10,186.65
NOVENA SQUARE,"238 THOMSON ROAD, SINGAPORE 307683",Commercial Building,Office,Omit,2000,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"42,570",81%,100%,N/A,Water Cooled Chilled Water Plant,2,0.65,N/A,0%,N,361.58,319.29,307.48,482.91
NEW PHOENIX PARK,"28 IRRAWADDY ROAD, SINGAPORE 329560",Commercial Building,Office,Large,2001,Platinum,2019,Existing Non-Residental Buildings ENRB: 2017,"99,091",78%,100%,N/A,Water Cooled Chilled Water Plant,16,1.11,2013,0%,Y,348.70,345.08,332.06,319.11
EASTGATE,"46 EAST COAST ROAD, SINGAPORE 428766",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"7,386",94%,100%,N/A,Air Cooled Chilled Water Plant,3,N/A,N/A,0%,N,75.69,76.56,67.21,58.33
THE REGENT SINGAPORE,"1 CUSCADEN ROAD, SINGAPORE 249715",Commercial Building,Hotel,Large,1982,GoldPlus,2020,Existing Building for Non-Residential buildings (version 2.1),"42,483",65%,47%,440,Water Cooled Chilled Water Plant,16,0.71,2020,55%,N,294.80,279.13,271.90,228.78
ORCHARD BUILDING,"1 GRANGE ROAD, SINGAPORE 239693",Commercial Building,Office,Small,1998,Gold,2018,Existing Building for Non-Residential buildings (version 3),"13,627",94%,100%,N/A,Water Cooled Chilled Water Plant,1,0.61,2018,0%,N,343.03,263.20,258.68,190.05
N/A,"1 AVIATION DRIVE, SINGAPORE 499867",Commercial Building,Office,Large,1992,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"22,368",53%,55%,N/A,Water Cooled Chilled Water Plant,4,0.63,2014,0%,N,147.16,139.94,144.24,129.43
LIAT TOWERS,"541 ORCHARD ROAD, SINGAPORE 238881",Commercial Building,Mixed Development,Large,1979,Gold,2018,Existing Building for Non-Residential buildings (version 3),"19,209",74%,100%,N/A,Water Cooled Chilled Water Plant,1,0.59,2018,30%,N,283.71,238.94,215.08,187.74
THE ORIENTAL PLAZA,"291 NEW BRIDGE ROAD, SINGAPORE 088756",Commercial Building,Retail,Small,1993,N/A,N/A,N/A,"5,992",59%,94%,N/A,Air Cooled Chilled Water Plant,20,N/A,N/A,0%,N,401.73,378.87,375.55,293.97
SHAW HOUSE,"350 ORCHARD ROAD, SINGAPORE 238868",Commercial Building,Office,Large,1993,Gold,2017,Existing Building for Non-Residential buildings (version 3),"49,048",53%,90%,N/A,Others,0,0.65,2016,8%,N,267.54,260.31,258.12,225.99
SHAW CENTRE,"1 SCOTTS ROAD, SINGAPORE 228208",Commercial Building,Office,Large,1975,Gold,2017,Existing Building for Non-Residential buildings (version 3),"40,939",88%,85%,N/A,Water Cooled Chilled Water Plant,2,0.65,2016,27%,N,366.87,362.02,360.03,317.64
TAMPINES MALL,"4 TAMPINES CENTRAL 5, SINGAPORE 529510",Commercial Building,Retail,Large,1995,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"47,065",75%,100%,N/A,Water Cooled Chilled Water Plant,8,0.85,2018,85%,N,536.76,523.57,529.61,460.46
PARKROYAL ON KITCHENER ROAD,"181 KITCHENER ROAD, SINGAPORE 208533",Commercial Building,Hotel,Large,1981,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"37,721",84%,79%,542,Water Cooled Chilled Water Plant,6,0.64,2019,74%,N,180.30,180.80,172.97,159.73
GOODWOOD PARK HOTEL,"16 SCOTTS ROAD, SINGAPORE 228221",Commercial Building,Hotel,Large,1900,Gold,2016,Existing Building for Non-Residential buildings (version 3),"29,616",90%,76%,233,Water Cooled Chilled Water Plant,3,0.67,2017,87%,N,279.20,246.59,247.14,203.07
CUSTOMS HOUSE,"70 COLLYER QUAY, SINGAPORE 049323",Commercial Building,Hotel,Omit,1999,N/A,N/A,N/A,"63,959",95%,100%,497,Others,0,N/A,N/A,30%,N,498.23,494.21,501.41,522.24
N/A,"51 IMBIAH WALK, SINGAPORE 099538",Commercial Building,Hotel,Small,2006,N/A,N/A,N/A,"8,651",78%,68%,196,Water Cooled Chilled Water Plant,6,1.05,2019,20%,N,261.53,260.93,259.58,217.25
ROBERTSON WALK,"11 UNITY STREET, SINGAPORE 237995",Commercial Building,Hotel,Large,1998,N/A,N/A,N/A,"30,793",72%,82%,164,Water Cooled Chilled Water Plant,22,1.52,2016,80%,N,274.89,266.13,267.88,229.96
SINGAPORE EXPO,"1 EXPO DRIVE, SINGAPORE 486150",Commercial Building,Retail,Large,1999,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"170,288",70%,43%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,80%,N,112.24,82.99,71.70,103.59
SWIBER@IBP,"12 INTERNATIONAL BUSINESS PARK, SINGAPORE 609920",Commercial Building,Office,Small,1992,N/A,N/A,N/A,"10,841",81%,100%,N/A,Water Cooled Packaged Unit,15,N/A,N/A,0%,N,137.81,85.28,88.98,61.53
CROWN AT ROBINSON,"140 ROBINSON ROAD, SINGAPORE 068907",Commercial Building,Office,Small,2016,N/A,N/A,N/A,"9,453",7%,70%,N/A,Others,1,N/A,N/A,50%,N,86.47,111.18,151.40,105.17
CHANGI COVE,"351 CRANWELL ROAD, SINGAPORE 509866",Commercial Building,Hotel,Large,2012,N/A,N/A,N/A,"45,000",7%,35%,141,Others,9,1,2019,70%,N,53.40,44.22,42.21,36.37
SULTAN-LINK,"53 MOHAMED SULTAN ROAD, SINGAPORE 238993",Commercial Building,Office,Small,2011,Legislated,2011,N/A,"2,181",68%,100%,N/A,Others,9,N/A,N/A,70%,N,239.59,271.61,358.21,346.57
SULTAN-LINK,"55 MOHAMED SULTAN ROAD, SINGAPORE 238995",Commercial Building,Office,Small,2011,Legislated,2011,N/A,757,100%,80%,N/A,Others,9,N/A,N/A,90%,N,116.35,108.41,116.20,94.93
SULTAN-LINK,"57 MOHAMED SULTAN ROAD, SINGAPORE 238997",Commercial Building,Office,Small,2011,Legislated,2011,N/A,"2,853",74%,85%,N/A,Others,9,N/A,N/A,20%,N,140.66,134.36,55.56,41.08
SULTAN-LINK,"59 MOHAMED SULTAN ROAD, SINGAPORE 238999",Commercial Building,Office,Small,2011,Legislated,2011,N/A,"2,677",74%,90%,N/A,Others,9,N/A,N/A,40%,N,54.67,56.22,45.54,27.14
SULTAN-LINK,"61 MOHAMED SULTAN ROAD, SINGAPORE 239001",Commercial Building,Office,Small,2011,Legislated,2011,N/A,"2,601",73%,100%,N/A,Others,9,N/A,N/A,40%,N,141.88,144.67,157.31,120.24
SULTAN-LINK,"63 MOHAMED SULTAN ROAD, SINGAPORE 239002",Commercial Building,Office,Small,2011,Legislated,2011,N/A,"1,063",84%,100%,N/A,Others,9,N/A,N/A,90%,N,111.59,140.60,93.94,119.97
N/A,"51 SCOTTS ROAD, SINGAPORE 228241",Commercial Building,Office,Large,2008,N/A,N/A,N/A,"15,645",89%,89%,N/A,Others,10,N/A,N/A,30%,N,217.85,206.44,199.85,135.90
UPPER SERANGOON SHOPPING CENTRE,"756 UPPER SERANGOON ROAD, SINGAPORE 534626",Commercial Building,Retail,Small,1982,Gold,2017,Existing Building for Non-Residential buildings (version 3),"12,969",93%,60%,N/A,Water Cooled Chilled Water Plant,2,3500,2018,100%,N,168.27,142.73,136.82,130.03
RAFFLES HOLLAND V,"118 HOLLAND AVENUE, SINGAPORE 278997",Commercial Building,Retail,Small,2018,Legislated,2016,N/A,"6,011",82%,100%,N/A,Water Cooled Chilled Water Plant,5,0.6,2020,80%,N,N/A,490.59,493.87,463.57
JURONG TOWN HALL,"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Commercial Building,Office,Large,2017,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"26,248",76%,79%,N/A,Water Cooled Chilled Water Plant,4,N/A,N/A,0%,N,67.70,76.79,77.16,65.27
THE JTC SUMMIT,"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",Commercial Building,Office,Large,2000,Platinum,2018,Existing Building for Non-Residential buildings (version 2.1),"56,527",96%,85%,N/A,Water Cooled Chilled Water Plant,6,0.62,2009,20%,N,141.87,141.04,145.05,128.02
AYER RAJAH AMENITY CENTRE,"69 AYER RAJAH CRESCENT, SINGAPORE 139961",Commercial Building,Retail,Small,1996,N/A,N/A,N/A,"2,300",77%,48%,N/A,Others,3,N/A,N/A,0%,N,161.23,165.50,161.62,102.65
CONNEXIS,"1 FUSIONOPOLIS WAY, SINGAPORE 138632",Commercial Building,Office,Omit,2008,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"120,384",72%,90%,N/A,District Cooling Plant,12.2,N/A,N/A,15%,N,207.28,220.35,207.45,197.49
HELIOS,"11 BIOPOLIS WAY, SINGAPORE 138667",Commercial Building,Office,Omit,2008,GoldPlus,2016,Existing Building for Non-Residential buildings (version 3),"170,856",84%,94%,N/A,District Cooling Plant,12.2,0.05,2010,10%,N,686.36,663.34,676.09,641.83
INNOVIS,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Commercial Building,Office,Large,2015,Platinum,2020,New Building for Non-Residential buildings (version 3),"41,193",74%,96%,N/A,Others,0,0.62,2020,0%,N,545.85,508.83,508.45,503.36
KINESIS,"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Commercial Building,Office,Large,2015,Platinum,2020,New Building for Non-Residential buildings (version 3),"33,123",79%,100%,N/A,Others,0,0.62,2020,0%,N,286.71,298.17,304.50,290.53
SYNTHESIS,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Commercial Building,Office,Large,2015,Platinum,2020,New Building for Non-Residential buildings (version 3),"19,173",100%,100%,N/A,Others,0,0.62,2020,0%,N,1040.49,1093.12,1126.07,1157.40
SINGAPORE MARRIOTT TANG PLAZA HOTEL,"320 ORCHARD ROAD, SINGAPORE 238865",Commercial Building,Hotel,Omit,1982,Gold,2017,Existing Building for Non-Residential buildings (version 3),"76,504",92%,85%,395,Water Cooled Chilled Water Plant,8,0.54,2015,80%,N,251.94,257.72,253.85,200.66
CHANGI EXHIBITION CENTRE,"9 AVIATION PARK ROAD, SINGAPORE 498760",Commercial Building,Retail,Large,2007,N/A,N/A,N/A,"51,909",100%,50%,N/A,Water Cooled Packaged Unit,12,N/A,N/A,0%,Y,35.11,40.31,18.67,30.77
COMPASS ONE,"1 SENGKANG SQUARE, SINGAPORE 545078",Commercial Building,Retail,Large,2017,Gold,2019,Existing Building for Non-Residential buildings (version 3),"38,621",100%,98%,N/A,Water Cooled Chilled Water Plant,3,0.6,2019,100%,N,546.94,542.27,544.98,518.74
N/A,"397 LORONG 2 TOA PAYOH, SINGAPORE 319639",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"4,179",20%,70%,N/A,Others,6,N/A,N/A,70%,N,56.48,55.20,55.98,38.70
N/A,"5 TAMPINES STREET 32, SINGAPORE 529284",Commercial Building,Retail,Small,1996,N/A,N/A,N/A,"9,900",1%,96%,N/A,Others,1,N/A,N/A,0%,N,136.06,128.59,373.49,512.28
N/A,"90 EU TONG SEN STREET, SINGAPORE 059811",Commercial Building,Office,Small,1930,N/A,N/A,N/A,"8,906",45%,50%,N/A,Others,4,N/A,N/A,0%,N,29.72,76.15,103.22,75.07
DIOCESAN CENTRE BUILDING,"1 FRANCIS THOMAS DRIVE, SINGAPORE 359340",Commercial Building,Office,Small,2009,N/A,N/A,N/A,"6,691",50%,22%,N/A,Others,15,N/A,N/A,0%,N,45.91,51.21,53.08,45.21
MILLENIA WALK,"9 RAFFLES BOULEVARD, SINGAPORE 039596",Commercial Building,Mixed Development,Omit,1993,Gold,2017,Existing Building for Non-Residential buildings (version 2.1),"228,435",88%,85%,1120,District Cooling Plant,20,0.67,2013,0%,N,303.59,301.28,294.69,241.77
CENTENNIAL TOWER,"3 TEMASEK AVENUE, SINGAPORE 039190",Commercial Building,Office,Large,1997,GoldPlus,2018,Existing Building for Non-Residential buildings (version 2.1),"64,846",80%,95%,N/A,Water Cooled Chilled Water Plant,4,0.65,2013,0%,N,193.08,192.89,190.15,167.80
OXLEY @ RAFFLES,"30 RAFFLES PLACE, SINGAPORE 048622",Commercial Building,Office,Small,2020,Platinum,2019,Non-Residential Buildings NRB: 2015,"40,389",89%,35%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,100%,N,N/A,N/A,N/A,50.63
SUNSHINE PLAZA,"10 PRINSEP LINK, SINGAPORE 187948",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"10,555",100%,80%,N/A,Others,5,N/A,N/A,5%,N,790.45,797.04,785.79,143.02
HEARTLAND MALL- KOVAN,"205 HOUGANG STREET 21, SINGAPORE 530205",Commercial Building,Retail,Small,1984,N/A,N/A,N/A,"13,568",100%,100%,N/A,Water Cooled Chilled Water Plant,16,N/A,N/A,80%,N,572.91,569.45,569.63,511.52
REVENUE HOUSE,"55 NEWTON ROAD, SINGAPORE 307987",Commercial Building,Office,Large,1996,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"86,572",96%,100%,N/A,Water Cooled Chilled Water Plant,4,0.62,2018,6%,N,165.69,165.03,162.31,137.43
INTERNATIONAL PLAZA,"10 ANSON ROAD, SINGAPORE 079903",Commercial Building,Office,Large,1976,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"103,899",99%,85%,N/A,Water Cooled Chilled Water Plant,3,0.63,2019,18%,N,172.45,162.73,164.52,139.98
N/A,"137 TELOK AYER STREET, SINGAPORE 068602",Commercial Building,Office,Small,2003,N/A,N/A,N/A,"9,233",100%,100%,N/A,Others,0,N/A,N/A,0%,N,233.14,222.80,213.52,182.79
COPTHORNE KING'S HOTEL,"403 HAVELOCK ROAD, SINGAPORE 169632",Commercial Building,Hotel,Large,1970,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"17,598",94%,85%,310,Water Cooled Chilled Water Plant,10,0.63,2017,100%,N,238.90,250.46,250.54,170.96
TONG ENG BUILDING,"101 CECIL STREET, SINGAPORE 069533",Commercial Building,Office,Large,1979,Platinum,2012,Existing Building for Non-Residential buildings (version 3),"22,930",94%,100%,N/A,Water Cooled Chilled Water Plant,7,N/A,N/A,0%,N,123.55,112.61,113.91,93.81
THE SINGAPORE RESORT & SPA,"2 BUKIT MANIS ROAD, SINGAPORE 099891",Commercial Building,Hotel,Small,1990,N/A,N/A,N/A,"13,752",93%,65%,215,Water Cooled Chilled Water Plant,9,N/A,N/A,70%,N,546.41,534.50,536.20,363.33
ASCOTT SINGAPORE RAFFLES PLACE,"2 FINLAYSON GREEN, SINGAPORE 049247",Commercial Building,Hotel,Large,2008,Certified,2007,New Building for A/C buildings (version 2),"16,105",93%,90%,146,Others,10,N/A,N/A,15%,N,205.72,209.98,200.81,176.95
THE HEEREN,"260 ORCHARD ROAD, SINGAPORE 238855",Commercial Building,Mixed Development,Large,1996,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"37,285",90%,93%,N/A,Water Cooled Chilled Water Plant,12,0.55,2017,65%,N,305.25,279.81,246.28,198.72
IOB BUILDING,"64 CECIL STREET, SINGAPORE 049711",Commercial Building,Office,Small,1984,N/A,N/A,N/A,"5,111",41%,100%,N/A,Water Cooled Chilled Water Plant,30,N/A,N/A,0%,N,255.96,247.76,245.46,242.37
CUPPAGE PLAZA,"5 KOEK ROAD, SINGAPORE 228796",Commercial Building,Retail,Small,1983,N/A,N/A,N/A,"14,571",55%,90%,N/A,Water Cooled Chilled Water Plant,10,0.65,2013,0%,N,307.97,320.76,302.00,228.96
51 CUPPAGE ROAD,"51 CUPPAGE ROAD, SINGAPORE 229469",Commercial Building,Office,Large,1997,Gold,2018,Existing Building for Non-Residential buildings (version 2.1),"30,915",83%,88%,N/A,Water Cooled Chilled Water Plant,20,0.85,N/A,99%,N,171.92,169.01,159.28,128.76
RIGEL INNOVATION CENTRE,"20 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486031",Commercial Building,Office,Large,2015,Gold,2016,New Building for Non-Residential buildings (version 4.1),"15,990",82%,65%,N/A,District Cooling Plant,10,N/A,N/A,58%,N,29.17,30.21,37.68,37.41
INCOME AT TAMPINES POINT,"2 TAMPINES CENTRAL 6, SINGAPORE 529483",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"10,950",80%,100%,N/A,Others,19,N/A,N/A,0%,N,237.53,247.97,244.74,170.09
EASTPOINT MALL,"3 SIMEI STREET 6, SINGAPORE 528833",Commercial Building,Retail,Large,2014,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"29,002",86%,95%,N/A,Water Cooled Chilled Water Plant,6,0.68,2019,87%,N,466.02,454.84,466.11,433.74
INCOME AT PRINSEP,"30 PRINSEP STREET, SINGAPORE 188647",Commercial Building,Mixed Development,Small,2013,Gold,2019,New Building for Non-Residential buildings (version 4),"6,256",69%,100%,N/A,Others,7,0.73,2017,33%,N,240.67,225.72,118.39,167.05
INCOME CENTRE,"75 BRAS BASAH ROAD, SINGAPORE 189557",Commercial Building,Office,Small,1990,N/A,N/A,N/A,"8,975",73%,100%,N/A,Others,11,N/A,N/A,0%,N,329.66,315.87,274.93,224.83
GREAT WORLD CITY,"1 KIM SENG PROMENADE, SINGAPORE 237994",Commercial Building,Mixed Development,Omit,1997,N/A,N/A,N/A,"135,183",86%,95%,N/A,Water Cooled Chilled Water Plant,10,0.68,2010,80%,N,235.37,212.23,195.81,230.81
HILTON INTERNATIONAL SINGAPORE,"581 ORCHARD ROAD, SINGAPORE 238883",Commercial Building,Mixed Development,Large,1969,N/A,N/A,N/A,"38,986",78%,91%,423,Water Cooled Chilled Water Plant,5,0.69,2019,75%,N,291.94,286.42,286.49,248.52
DELFI ORCHARD,"402 ORCHARD ROAD, SINGAPORE 238876",Commercial Building,Retail,Small,1984,N/A,N/A,N/A,"11,608",100%,85%,N/A,Water Cooled Chilled Water Plant,14,N/A,N/A,0%,N,167.27,161.44,160.77,151.69
FRAGRANCE EMPIRE BUILDING,"456 ALEXANDRA ROAD, SINGAPORE 119962",Commercial Building,Office,Large,1983,N/A,N/A,N/A,"28,100",69%,78%,N/A,Water Cooled Chilled Water Plant,15,N/A,N/A,10%,N,104.12,126.04,145.21,133.86
THE SELETAR MALL,"33 SENGKANG WEST AVENUE, SINGAPORE 797653",Commercial Building,Retail,Large,2014,Gold,2017,New Building for Non-Residential buildings (version 4.1),"26,371",100%,100%,N/A,Water Cooled Chilled Water Plant,5,0.63,2020,100%,N,603.38,651.15,666.49,601.44
HAITE BUILDING,"15 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486006",Commercial Building,Office,Large,2015,N/A,N/A,N/A,"16,720",32%,55%,N/A,District Cooling Plant,12,N/A,N/A,0%,N,70.41,69.69,74.18,67.43
GRAND PARK ORCHARD,"270 ORCHARD ROAD, SINGAPORE 238857",Commercial Building,Hotel,Large,2010,N/A,N/A,N/A,"22,606",98%,88%,308,Others,0,N/A,N/A,30%,N,284.20,298.43,316.58,269.52
ONE RAFFLES PLACE,"1 RAFFLES PLACE, SINGAPORE 048616",Commercial Building,Office,Large,1988,Gold,2020,Existing Building for Non-Residential buildings (version 3),"117,541",90%,95%,N/A,Water Cooled Chilled Water Plant,3,0.64,2019,10%,Y,238.50,205.93,203.82,172.11
JIT POH BUILDING,"19 KEPPEL ROAD, SINGAPORE 089058",Commercial Building,Office,Small,1975,N/A,N/A,N/A,"7,200",100%,90%,N/A,Water Cooled Chilled Water Plant,11,N/A,N/A,41%,N,133.02,152.80,150.47,137.19
JEN SINGAPORE TANGLIN BY SHANGRI-LA,"1A CUSCADEN ROAD, SINGAPORE 249716",Commercial Building,Hotel,Large,1995,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"26,385",80%,84%,565,Water Cooled Chilled Water Plant,6,0.67,2019,70%,N,288.41,287.01,283.54,211.11
CECIL COURT,"138 CECIL STREET, SINGAPORE 069538",Commercial Building,Office,Small,1986,N/A,N/A,N/A,"10,926",73%,90%,N/A,Water Cooled Chilled Water Plant,30,N/A,N/A,0%,N,197.46,182.55,175.55,138.59
N/A,"51 GRANGE ROAD, SINGAPORE 249564",Commercial Building,Office,Large,1978,Certified,2017,New Building for Non-Residential buildings (version 4.1),"20,916",67%,100%,N/A,Others,1,N/A,N/A,10%,N,72.05,73.47,74.29,51.81
N/A,"402 COMMONWEALTH DRIVE, SINGAPORE 149599",Commercial Building,Office,Small,1960,N/A,N/A,N/A,"6,120",25%,100%,N/A,Others,2,N/A,N/A,0%,N,46.41,44.13,45.82,17.19
MOE BUILDING,"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",Commercial Building,Office,Large,2000,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"51,479",59%,100%,N/A,Water Cooled Chilled Water Plant,1,0.18,2018,40%,N,207.74,213.41,207.03,182.50
TUV SUD PSB BUILDING,"1 SCIENCE PARK DRIVE, SINGAPORE 118221",Commercial Building,Office,Large,1989,N/A,N/A,N/A,"32,079",63%,100%,N/A,Water Cooled Chilled Water Plant,17,0.83,2014,33%,N,320.17,328.45,344.59,286.52
E!HUB@DOWNTOWN EAST,"1 PASIR RIS CLOSE, SINGAPORE 519599",Commercial Building,Mixed Development,Omit,1995,Gold,2015,New Building for Non-Residential buildings (version 4.1),"97,373",41%,77%,418,Others,0,0.69,2019,73%,N,692.97,725.95,291.66,229.67
N/A,"3 TAMPINES GRANDE, SINGAPORE 528799",Commercial Building,Office,Large,2002,Certified,2017,Existing Building for Non-Residential buildings (version 3),"15,345",88%,100%,N/A,Others,7,0.87,N/A,25%,N,287.56,274.67,267.75,207.09
MTOWER,"460 ALEXANDRA ROAD, SINGAPORE 119963",Commercial Building,Office,Large,1986,GoldPlus,2018,Existing Building for Non-Residential buildings (version 2.1),"79,650",94%,100%,N/A,Water Cooled Chilled Water Plant,10,0.69,2018,43%,N,234.92,230.81,229.38,198.67
HOLIDAY INN EXPRESS SINGAPORE ORCHARD ROAD,"20 BIDEFORD ROAD, SINGAPORE 229921",Commercial Building,Hotel,Small,2013,Platinum,2018,New Building for Non-Residential buildings (version 3),"7,221",66%,70%,221,Water Cooled Chilled Water Plant,7,0.55,N/A,100%,N,195.66,235.29,202.84,172.75
HI-P BUILDING,"11 INTERNATIONAL BUSINESS PARK, SINGAPORE 609926",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"8,157",39%,100%,N/A,Water Cooled Chilled Water Plant,13,N/A,N/A,100%,N,1004.60,958.55,876.32,932.57
PENINSULA PLAZA,"111 NORTH BRIDGE ROAD, SINGAPORE 179098",Commercial Building,Mixed Development,Large,1980,Gold,2019,Existing Building for Non-Residential buildings (version 3),"50,051",88%,85%,N/A,Water Cooled Chilled Water Plant,1,0.65,2019,100%,N,253.94,220.34,183.73,135.19
MERCHANTS' COURT,"3A RIVER VALLEY ROAD, SINGAPORE 179020",Commercial Building,Retail,Large,1993,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"34,009",73%,95%,N/A,Water Cooled Chilled Water Plant,18,N/A,N/A,60%,N,578.25,567.67,583.69,530.42
YORK HOTEL,"21 MOUNT ELIZABETH, SINGAPORE 228516",Commercial Building,Hotel,Large,1971,Gold,2019,Existing Building for Non-Residential buildings (version 3),"31,184",87%,43%,407,Water Cooled Chilled Water Plant,5,0.69,2019,55%,N,139.56,137.30,144.26,117.68
KITCHENER COMPLEX,"809 FRENCH ROAD, SINGAPORE 200809",Commercial Building,Mixed Development,Large,1986,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"26,881",37%,60%,N/A,Others,2,N/A,N/A,40%,N,129.35,120.97,126.85,104.02
NEW BRIDGE CENTRE,"336 SMITH STREET, SINGAPORE 050336",Commercial Building,Office,Small,1987,N/A,N/A,N/A,"10,678",84%,100%,N/A,Others,5,N/A,N/A,70%,N,248.42,262.01,258.67,211.89
SEMBAWANG MART,"511 CANBERRA ROAD, SINGAPORE 750511",Commercial Building,Retail,Small,2005,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"5,345",64%,100%,N/A,Others,8,N/A,N/A,21%,N,459.02,441.05,418.11,405.70
WEST COAST PLAZA,"154 WEST COAST ROAD, SINGAPORE 127371",Commercial Building,Retail,Large,2008,N/A,N/A,N/A,"20,713",85%,83%,N/A,Water Cooled Chilled Water Plant,12,N/A,N/A,0%,N,422.49,418.68,428.98,390.29
BALESTIER PLAZA,"400 BALESTIER ROAD, SINGAPORE 329802",Commercial Building,Retail,Small,1984,N/A,N/A,N/A,"8,199",40%,100%,N/A,Water Cooled Packaged Unit,1,N/A,N/A,0%,N,246.71,218.31,238.25,220.36
THE GRANDSTAND,"200 TURF CLUB ROAD, SINGAPORE 287994",Commercial Building,Retail,Large,1994,N/A,N/A,N/A,"90,517",58%,75%,N/A,Others,5,N/A,N/A,15%,N,200.22,170.41,156.20,133.15
YEWTEE POINT,"21 CHOA CHU KANG NORTH 6, SINGAPORE 689578",Commercial Building,Retail,Small,2008,Certified,2017,Existing Building for Non-Residential buildings (version 3),"10,880",69%,97%,N/A,Water Cooled Chilled Water Plant,11,N/A,N/A,100%,N,637.40,616.16,644.16,599.43
